X,Y,Z
-55, -90, 88
-56, -90, 91
-57, -91, 95
-59, -92, 99
-60, -92, 104
-61, -92, 108
-62, -92, 112
-64, -92, 116
-65, -91, 121
-66, -90, 125
-67, -89, 130
-68, -87, 134
-68, -85, 138
-69, -83, 142
-70, -81, 147
-70, -78, 150
-70, -75, 154
-70, -72, 158
-71, -69, 161
-70, -65, 164
-70, -61, 167
-70, -57, 169
-69, -53, 171
-69, -49, 173
-68, -45, 174
-67, -40, 175
-66, -36, 176
-65, -32, 176
-64, -28, 177
-62, -23, 176
-61, -19, 176
-59, -16, 175
-57, -12, 174
-56, -8, 173
-54, -5, 172
-52, -2, 170
-50, 1, 168
-48, 4, 167
-46, 6, 165
-44, 9, 163
-42, 11, 161
-40, 13, 158
-38, 15, 156
-36, 16, 154
-34, 17, 152
-32, 19, 150
-30, 20, 148
-28, 21, 145
-26, 22, 143
-24, 22, 141
-22, 23, 139
-20, 23, 137
-19, 24, 135
-17, 24, 134
-15, 24, 132
-14, 25, 130
-12, 25, 128
-11, 25, 127
-10, 25, 125
-8, 25, 124
-7, 25, 122
-6, 25, 121
-4, 25, 119
-3, 25, 118
-2, 25, 117
-1, 25, 115
0, 24, 114
1, 24, 113
2, 24, 112
3, 24, 111
3, 24, 110
4, 24, 109
5, 24, 108
6, 24, 107
6, 24, 106
7, 24, 105
8, 24, 104
8, 24, 103
9, 24, 102
10, 24, 101
10, 24, 100
11, 24, 100
11, 24, 99
12, 24, 98
12, 24, 97
13, 24, 97
13, 24, 96
13, 24, 95
14, 24, 94
14, 24, 94
15, 24, 93
15, 25, 93
15, 25, 92
16, 25, 91
16, 25, 91
16, 26, 90
17, 26, 90
17, 26, 89
18, 26, 89
18, 27, 88
18, 27, 88
19, 27, 88
19, 28, 87
19, 28, 87
20, 28, 86
20, 29, 86
20, 29, 86
21, 29, 85
21, 30, 85
21, 30, 85
22, 31, 85
22, 31, 84
22, 32, 84
23, 32, 84
23, 33, 84
23, 33, 84
24, 34, 84
24, 34, 84
25, 35, 84
25, 35, 84
25, 36, 84
26, 36, 84
26, 37, 84
27, 38, 84
27, 38, 84
28, 39, 84
28, 39, 84
28, 40, 85
29, 41, 85
29, 41, 85
30, 42, 85
30, 42, 86
31, 43, 86
31, 44, 87
32, 44, 87
32, 45, 88
33, 45, 88
33, 46, 89
34, 46, 89
34, 47, 90
35, 48, 91
35, 48, 91
36, 49, 92
36, 49, 93
37, 50, 94
37, 50, 94
38, 50, 95
38, 51, 96
39, 51, 97
39, 52, 98
40, 52, 99
40, 52, 100
41, 52, 101
41, 53, 102
42, 53, 103
42, 53, 104
42, 53, 105
43, 53, 107
43, 53, 108
44, 53, 109
44, 53, 110
44, 53, 111
45, 53, 112
45, 52, 114
45, 52, 115
46, 52, 116
46, 51, 117
46, 51, 118
46, 50, 119
46, 50, 120
46, 49, 121
47, 49, 122
47, 48, 123
47, 47, 124
47, 46, 125
47, 46, 126
47, 45, 127
47, 44, 128
46, 43, 128
46, 42, 129
46, 41, 130
46, 40, 130
46, 39, 131
45, 38, 131
45, 37, 131
45, 36, 132
44, 35, 132
44, 34, 132
44, 33, 132
43, 32, 132
43, 31, 132
42, 30, 132
42, 29, 132
41, 28, 132
41, 27, 132
40, 26, 131
40, 25, 131
39, 24, 131
39, 23, 130
38, 23, 130
37, 22, 129
37, 21, 129
36, 20, 128
36, 20, 128
35, 19, 127
34, 18, 126
34, 18, 126
33, 17, 125
32, 17, 124
32, 16, 124
31, 16, 123
31, 15, 122
30, 15, 121
29, 15, 120
29, 14, 120
28, 14, 119
28, 14, 118
27, 14, 117
27, 13, 116
26, 13, 115
26, 13, 115
25, 13, 114
25, 13, 113
24, 13, 112
24, 13, 111
23, 13, 110
23, 13, 109
23, 13, 109
22, 13, 108
22, 13, 107
21, 13, 106
21, 13, 105
21, 13, 104
20, 13, 104
20, 13, 103
20, 13, 102
20, 13, 101
19, 13, 100
19, 14, 100
19, 14, 99
19, 14, 98
19, 14, 97
18, 14, 97
18, 15, 96
18, 15, 95
18, 15, 94
18, 15, 94
18, 16, 93
18, 16, 92
18, 16, 92
17, 16, 91
17, 17, 90
17, 17, 90
17, 17, 89
17, 18, 88
17, 18, 88
17, 18, 87
17, 19, 87
18, 19, 86
18, 19, 85
18, 20, 85
18, 20, 84
18, 21, 84
18, 21, 83
18, 21, 83
18, 22, 82
18, 22, 82
18, 23, 82
19, 23, 81
19, 24, 81
19, 24, 80
19, 25, 80
19, 25, 80
20, 26, 79
20, 26, 79
20, 27, 79
20, 27, 78
21, 28, 78
21, 28, 78
21, 29, 78
22, 30, 77
22, 30, 77
22, 31, 77
23, 31, 77
23, 32, 77
23, 33, 77
24, 33, 77
24, 34, 77
24, 35, 77
25, 36, 77
25, 36, 77
26, 37, 77
26, 38, 77
27, 38, 77
27, 39, 78
27, 40, 78
28, 41, 78
28, 41, 79
